id_producto;nombre_producto;categoria;precio_con_iva;stock_disponible
31963;"Anillo de Plata 925 Diseño Corona de Flores de Circones de Colores";"Anillo Circón";7600;61
31964;"Anillo de Plata 925 Diseño Cuadrado con Piedra Ónix";"Anillos de Hombres";20300;46
31960;"Anillo de Plata 925 Diseño Cinturón de Circones con Circón Verde";"Anillo Circón";10300;69
31955;"Pulsera de Plata 925 Diseño Trébol con Serie de Circones";"Pulsera con Circón";9800;50
31956;"Anillo de Plata 925 Diseño Borde Liso con Circones Tradicionales y Color Lila";"Anillo Circón";7100;80
31957;"Anillo de Plata 925 Diseño Borde Liso con Flor de Loto de Circones";"Anillo Circón";5200;73
31958;"Anillo de Plata 925 Diseño Calado Liso con Banda de Circones";"Anillo Circón";11400;45
31959;"Anillo de Plata 925 Diseño Cinturón con Infinito de Circones y Liso";"Anillo Circón";9300;69
31953;"Pulsera de Plata 925 Diseño Flor Esmaltada Rosada y Pequeños Cristales";"Pulsera de Plata";6000;46
31954;"Pulsera de Plata 925 Diseño Perla Imitación y Circones Tradicionales Colgantes";"Pulsera con Circón";7600;61
31950;"Pulsera de Plata 925 Diseño Candado Corazón de Circones con LLave y Perla Imitación Colgante";"Pulsera con Circón";7200;93
31951;"Pulsera de Plata 925 Diseño Circular con Flor de Circones";"Pulsera con Circón";6000;57
31952;"Pulsera de Plata 925 Diseño Corbatín de Circones de Colores";"Pulsera con Circón";11300;45
31945;"Collar de Plata 925 Punto de Luz Circón Violeta 6 mm";"Collares de Plata";6700;81
31947;"Collar Enchapado en Oro Diseño Serie de Corazones Lisos";"Enchapado en Oro";8500;54
31948;"Conjunto de Plata 925 Circón Cuadrado Color Rosa";"Conjuntos de Plata";2900;130
31949;"Conjunto de Plata 925 Diseño Placa Circular con Aplicación de Circones y Perla Imitación";"Conjuntos de Plata";10600;56
31944;"Collar de Plata 925 Diseño Figuras Candado de Circones , Llaves y Perla Imitación";"Collares con Circón";12100;68
31940;"Aros de Plata 925 Estilo Circular con Circón Rectangular";"Aro Circón Pegados";4200;94
31941;"Aros de Plata 925 Estilo Mickey Mouse Calado con Circones Magenta";"Aro Circón Pegados";4600;70
31942;"Aros de Plata 925 Estilo Mickey Mouse con Circones";"Aro Circón Pegados";4900;91
31943;"Colgante de Plata 925 Relicario Corazón Relieves y Valier con Circones";"Colgante Circón";17300;47
31936;"Aros de Plata 925 Diseño Inflado con Placa Lisa";"Aro de Plata Pegados";18300;26
31937;"Aros de Plata 925 Diseño Minnie Mouse de Circones Tradicionales";"Aro Circón Pegados";5400;84
31938;"Aros de Plata 925 Diseño Perla Imitación con Gota de Circón";"Aro Circón Pegados";5500;66
31939;"Aros de Plata 925 Diseño Silueta Estrella Lisa";"Aro de Plata Pegados";3900;57
31935;"Aros de Plata 925 Diseño Circular Mickey Mouse";"Aro Circón Pegados";5400;64
31930;"Accesorios Caja Aros Color Azul con Cinta Plateada";ACCESORIOS;500;52
31931;"Accesorios Caja Aros Color Plateado";ACCESORIOS;500;49
31932;"Accesorios Caja Aros Color Rojo con Cinta Dorada";ACCESORIOS;500;48
31933;"Aros de Plata 925 Diseño Boton de Circones con Circulos Lisos";"Aro Circón Pegados";4700;52
31934;"Aros de Plata 925 Diseño Circular con Aplicación de Circones";"Aro Circón Pegados";4700;94
31928;"Anillo de Plata 925 Diseño Flor de Circones Tradicionales y Circón Verde";"Anillo Circón";5400;42
31929;"Anillo Enchapado en Oro Diseño Satinado con Corazón Grabado";"Enchapado en Oro";7500;20
31923;"Anillo de Plata 925 Diseño Abierto con Doble Banda Recta";"Anillos de Plata Lisa";9200;56
31924;"Anillo de Plata 925 Diseño Borde Hexagonal con Piedra Ónix";"Anillos de Hombres";16100;35
31925;"Anillo de Plata 925 Diseño Circón con Doble Banda Lisa y de Circones";"Anillo Circón";6500;54
31926;"Anillo de Plata 925 Diseño Estilo Hello Kitty con Circones Tradicionales y Magenta";"Anillo Circón";5500;55
31927;"Anillo de Plata 925 Diseño Flor de Circones Tradicionales y Circón Azul";"Anillo Circón";5400;37
31920;"Pulsera Enchapada en Oro Diseño Eslabones Ovalados con Estrella Colgante de Circones";"Enchapado en Oro";7500;34
31921;"Pulsera Enchapada en Oro Diseño Serie Eslabones con Corazones";"Enchapado en Oro";5400;45
31922;"Pulsera Enchapada en Oro Diseño Varitas con Corazones Lisos y Tornasol";"Enchapado en Oro";9000;17
31918;"Pulsera Enchapada en Oro Diseño Eslabones con Corazón de Circones";"Enchapado en Oro";6500;39
31919;"Pulsera Enchapada en Oro Diseño Eslabones con Corazones Biselados y Tornasol";"Enchapado en Oro";8000;47
31913;"Pulsera de Plata 925 Diseño Esferas Lisas con Colibrí y Circones";"Pulsera con Circón";11000;51
31914;"Pulsera de Plata 925 Diseño Tubular con Doble Nudo";"Pulsera de Plata";7300;49
31915;"Pulsera de Plata 925 Estilo Eslabones con Esferas y Estrella de Circones";"Pulsera con Circón";7800;54
31916;"Pulsera de Plata 925 Estilo Musical con Aplicaciones de Circón y Circones Tradicionales";"Pulsera con Circón";8600;50
31917;"Pulsera Enchapada en Oro Diseño Eslabón Ovalado con Mariposa de Circones";"Enchapado en Oro";7300;31
31912;"Pulsera de Plata 925 Diseño Esferas de Circón y Lisas";"Pulsera con Circón";10200;50
31908;"Conjunto de Plata 925 Diseño Trébol de Corazones con Aplicación de Circones";"Conjuntos de Plata";8300;42
31909;"Pulsera de Plata 925 Diseño "" Mundo y Avión ""con Aplicaciones de Circones";"Pulsera con Circón";7200;55
31910;"Pulsera de Plata 925 Diseño Circones de Corazón de Colores";"Pulsera con Circón";13800;53
31911;"Pulsera de Plata 925 Diseño Corazón Liso con Aplicación de Circones de Colores";"Pulsera con Circón";7200;93
31904;"Conjunto de Plata 925 Diseño Flor de Circones";"Conjuntos de Plata";10800;70
31905;"Conjunto de Plata 925 Diseño Flor Pétalos de Corazón Circones y Perla Imitación";"Conjuntos de Plata";12500;53
31906;"Conjunto de Plata 925 Diseño Mickey Mouse";"Conjuntos de Plata";6300;57
31907;"Conjunto de Plata 925 Diseño Placa Circular con Circones y Perla Imitación";"Conjuntos de Plata";12400;52
31903;"Conjunto de Plata 925 Diseño Diferentes Figuras con Circones de Colores";"Conjuntos de Plata";15400;46
31898;"Collar Enchapado en Oro Diseño Cadena Eslabones con Colgante Ovalado y Perla Imitación";"Enchapado en Oro";23000;19
31899;"Collar Enchapado en Oro Diseño Punto de Luz 7 mm";"Enchapado en Oro";6500;49
31900;"Collar Enchapado en Oro Diseño Semi Ala Mariposa de Circones";"Enchapado en Oro";7000;39
31901;"Conjunto de Plata 925 Diseño Corazón con Aplicación de Microcircones";"Conjuntos de Plata";8900;69
31902;"Conjunto de Plata 925 Diseño de Flor Magenta y Pétalos de Circones Tradicionales";"Conjuntos de Plata";10300;59
31896;"Collar de Plata 925 Punto de Luz Circón Corazón Verde 6 mm";"Collares con Circón";6700;66
31897;"Collar Enchapado en Oro Diseño Cadena Eslabones con Broche Óvalo";"Enchapado en Oro";18000;33
31893;"Collar de Plata 925 Diseño Circular con Serie de Circones y Circón de Corazón Magenta";"Collares con Circón";10400;63
31894;"Collar de Plata 925 Diseño Gato con Circones";"Collares con Circón";7700;56
31895;"Collar de Plata 925 Diseño Mostacillas Cilíndricas";"Collares de Plata";19600;43
31888;"Colgante de Plata 925 Diseño "" Fe "" con Corazón de Circones";"Colgante Circón";6900;52
31889;"Colgante de Plata 925 Diseño Corazón Calado con Balón de Fútbol";"Colgante Plata Lisa";8800;57
31890;"Colgante de Plata 925 Diseño Cruz de Circones Esmeralda y Tradicional";"Colgante Circón";4900;50
31891;"Colgante de Plata 925 Relicario Circular con Valier con Circones y Luna de Circones";"Colgante Circón";11100;47
31892;"Colgante de Plata 925 Relicario Corazón con Circones y Calados de Corazón";"Colgante Circón";11700;42
31883;"Aros de Plata 925 Diseño Varita con Colgante Copo de Nieve con Circones";"Aros Circón Largo";7900;46
31884;"Aros de Plata 925 Estilo Piercing Diseño Flor de Circón";Piercing;6200;45
31885;"Aros Enchapados en Oro Diseño Argolla Bordes Cuadrados con Circones";"Enchapado en Oro";4300;36
31886;"Aros Enchapados en Oro Diseño Argolla con Cadena y Perla Imitación";"Enchapado en Oro";6000;54
31887;"Aros Enchapados en Oro Diseño Semi Argolla Tubular Lisa";"Enchapado en Oro";4500;27
31880;"Aros de Plata 925 Diseño Tulipán de Circones";"Aro Circón Pegados";8700;57
31881;"Aros de Plata 925 Diseño Vara con Circones y Colgante de Luna con Silueta de Gato";"Aros Circón Largo";10700;36
31882;"Aros de Plata 925 Diseño Vara de Circones con Punta de Circón Rubí";"Aros Circón Largo";6300;56
31878;"Aros de Plata 925 Diseño Silueta de Oso Calada con Circones";"Aro Circón Pegados";3900;55
31879;"Aros de Plata 925 Diseño Triple Serie de Circones";"Aro Circón Pegados";11600;42
31873;"Aros de Plata 925 Diseño Flor con Pétalos de Circones y Perla Imitación";"Aro Circón Pegados";9200;59
31874;"Aros de Plata 925 Diseño Flor de Circones";"Aro Circón Pegados";6200;54
31875;"Aros de Plata 925 Diseño Gota Calada con Circones Tradicionales y Azul";"Aros Circón Largo";9400;53
31876;"Aros de Plata 925 Diseño Gota de Circones de Color Azul";"Aro Circón Pegados";5900;37
31877;"Aros de Plata 925 Diseño Mariposa de Circones Tradicionales y de Colores";"Aro Circón Pegados";8800;59
31872;"Aros de Plata 925 Diseño Colibrí con Circón Magenta";"Aro Circón Pegados";7100;52
31868;"Aros de Plata 925 Argollas con Gotas de Circones";"Aros Circón Largo";11500;58
31869;"Aros de Plata 925 Diseño Argolla de Circones Tradicionales y Color Verde con Colgante Circón";Argollas;7900;46
31870;"Aros de Plata 925 Diseño Circón 4 mm con Gota Colgante";"Aros Circón Largo";5900;63
31871;"Aros de Plata 925 Diseño Circón con Gota Colgante";"Aros Circón Largo";5600;92
31861;"Anillo de Plata 925 Diseño Irregular Inflado con Relieves";"Anillos de Plata Lisa";21700;14
31862;"Anillo de Plata 925 Diseño Abierto Doble Banda Irregular";"Anillos de Plata Lisa";8200;66
31859;"Anillo de Plata 925 Diseño Sello Liso";"Anillos de Hombres";14900;37
31860;"Anillo de Plata 925 Estilo Gucci Inflado";"Anillos de Plata Lisa";20300;19
31856;"Anillo de Plata 925 Diseño Flor Pétalos de Circones";"Anillo Circón";4700;94
31857;"Anillo de Plata 925 Diseño Flor Calada de Circones";"Anillo Circón";6100;55
31858;"Anillo de Plata 925 Diseño Sello con Circón Rubí";"Anillos de Hombres";16300;49
31851;"Anillo de Plata 925 Diseño Corona de Trío de Circones";"Anillo Circón";6000;56
31852;"Anillo de Plata 925 Diseño Corazón Irregular de Circones y Liso";"Anillo Circón";7700;71
31853;"Anillo de Plata 925 Diseño Mariposa Lisa con Circones de Colores";"Anillo Circón";9300;55
31854;"Anillo de Plata 925 Diseño Óvalos de Circones con Serie de Circones de Colores";"Anillo Circón";13200;46
31855;"Anillo de Plata 925 Diseño Flor de Circones y Circón Magenta";"Anillo Circón";5400;42
31846;"Conjunto de Plata 925 Diseño Rama con Hojas de Circones y Perla Imitación";"Conjuntos de Plata";10700;56
31847;"Pulsera Enchapada en Oro Diseño Eslabón con Perla Imitación";"Enchapado en Oro";7500;23
31848;"Anillo de Plata 925 Doble con Circón y Serie de Circones Intercalados";"Anillo Circón";9300;81
31849;"Anillo de Plata 925 Multi Diseño con Circón Esmeralda";"Anillo Circón";10800;55
31850;"Anillo de Plata 925 Diseño Mariposa con Circones Magenta y Corona de Circones";"Anillo Circón";6400;63
31843;"Collar de Plata 925 Punto de Luz Gota Circón 8 mm 45 cm";"Collares con Circón";5100;119
31844;"Collar Enchapado en Oro Diseño Broche Timón con Cadena Eslabón Ovalado, Trébol Satinado y Esferas Lisas";"Enchapado en Oro";16000;40
31845;"Collar Enchapado en Oro Diseño Cadena Ancla con Circones de Colores";"Enchapado en Oro";14500;28
31841;"Collar de Plata 925 Punto de Luz Circón Rojo 6 mm";"Collares de Plata";6700;82
31842;"Collar de Plata 925 Punto de Luz 6 mm 50 cm";"Collares con Circón";5500;29
31836;"Aros de Plata 925 Diseño Infinito";"Aro de Plata Pegados";3300;58
31837;"Aros de Plata 925 Diseño Fundido con Pequeños Circones";"Aro de Plata Pegados";7200;60
31838;"Aros de Plata 925 Diseño Corazón con Gota Calada y Texturada";"Aro de Plata Pegados";5900;57
31839;"Aros de Plata 925 Piercing de Circones en Circulo y Estrella Lisa";Piercing;6100;45
31840;"Aros de Plata 925 Estilo Piercing Corazón de Circones";Piercing;6200;43
31835;"Aros de Plata 925 Diseño Estrella con Circulo de Circones de Colores";"Aro Circón Pegados";6300;55
31831;"Aros de Plata 925 Silueta Corazón con Circones";"Aro Circón Pegados";5100;93
31832;"Aros de Plata 925 Diseño Cuadrado de Circones";"Aro Circón Pegados";9400;49
31833;"Aros de Plata 925 Diseño Doble de Mariposa con Cadena y Argolla de Circones";"Aro Circón Pegados";12000;41
31834;"Aros de Plata 925 Diseño Colibrí con Circones";"Aro Circón Pegados";5600;90
31827;"Aros de Plata 925 Doble Infinito con Circones";"Aro Circón Pegados";4000;61
31828;"Aros de Plata 925 Serie de Circones en Degrade";"Aro Circón Pegados";3300;58
31829;"Aros de Plata 925 Diseño Oso de Circones";"Aro Circón Pegados";4100;90
31830;"Aros de Plata 925 Diseño Mariposa de Circones";"Aro Circón Pegados";7200;96
31826;"Aros de Plata 925 Diseño Semi Argolla de Circones";Argollas;15200;32
31821;"Aros de Plata 925 Diseño Argolla con Rostro de Gata Esmaltada Blanca con Rosa";Argollas;6700;43
31822;"Aros de Plata 925 Argolla con Rostro de Gato Ópalo";Argollas;6200;47
31823;"Aros de Plata 925 Diseño Argollas con Circones y Colgante Cuadrado Color Magenta";Argollas;10800;41
31824;"Aros de Plata 925 Diseño Semi Argolla Inflada con Circones de Colores";Argollas;13500;43
31825;"Aros de Plata 925 Diseño Argollas con Estrellas y Circones";Argollas;6300;51
31819;"Anillo de Plata 925 Diseño Triple Banda con Circones de Colores y Tradicionales";"Anillo Circón";12300;63
31820;"Anillo de Plata 925 Estilo Solitario con Flor de Circón";"Anillo Circón";5000;82
31816;"Anillo de Plata 925 Diseño Corona de Flores de Circones Multi Color";"Anillo Circón";6500;81
31817;"Anillo de Plata 925 Diseño Flor de Circones";"Anillo Circón";3300;74
31818;"Anillo de Plata 925 Diseño Irregular con Corazón de Circones";"Anillo Circón";2500;82
31811;"Pulsera de Plata 925 Diseño Mariposas con Circones";"Pulsera con Circón";9200;57
31812;"Pulsera de Plata 925 Diseño Serie de Gotas de Circones Verdes";"Pulsera con Circón";17300;32
31813;"Anillo de Plata 925 Diseño Abierto con Colibrí y Punta de Circón";"Anillo Circón";8900;64
31814;"Anillo de Plata 925 Diseño Abierto en Punta con Aplicación de Circones";"Anillo Circón";18600;38
31815;"Anillo de Plata 925 Diseño Circón Negro";"Anillo Circón";4600;91
31806;"Conjunto de Plata 925 Diseño Mariposa de Circones";"Conjuntos de Plata";6900;50
31807;"Conjunto de Plata 925 Diseño Rueda de Circones";"Conjuntos de Plata";14200;46
31808;"Pulsera de Plata 925 Diseño Colibrí con Circones Tradicionales";"Pulsera con Circón";8200;53
31809;"Pulsera de Plata 925 Diseño Flores de Circones de Colores";"Pulsera con Circón";17700;56
31810;"Pulsera de Plata 925 Diseño Gotas en Serie de Circones de Colores";"Pulsera con Circón";17300;44
31803;"Conjunto de plata 925 Diseño Doble de Flor con Circones Tradicionales y Color Magenta";"Conjuntos de Plata";13200;43
31804;"Conjunto de Plata 925 Diseño Flor Calada con Botón Perla Imitación y Aplicaciones de Circones";"Conjuntos de Plata";8900;66
31805;"Conjunto de Plata 925 Diseño Luna de Circones con Estrella Lisa";"Conjuntos de Plata";7300;49
31801;"Conjunto de Plata 925 Diseño Corazón Liso Irregular";"Conjuntos de Plata";6100;91
31802;"Conjunto de Plata 925 Diseño Delicadas Hojas de Circones";"Conjuntos de Plata";9200;57
31796;"Collar de Plata 925 Punto de Luz Circón";"Collares con Circón";4900;37
31797;"Collar de Plata 925 Punto de Luz Circón 6 mm 45 cm";"Collares con Circón";5100;81
31798;"Collar de Plata 925 Punto de Luz Gota 8 mm 40 cm";"Collares con Circón";4900;31
31799;"Collar de Plata 925 Punto de Luz Gota Circón 8 mm 50 cm";"Collares con Circón";5500;36
31800;"Conjunto de Plata 925 Diseño Corazón Calado con Aplicaciones de Circones de Colores";"Conjuntos de Plata";7900;56
31795;"Colgante de Plata 925 Huella de Circones";"Colgante Circón";4800;62
31791;"Aros de Plata 925 Estilo Tinker Bell con Circones";"Aro Circón Pegados";3600;44
31792;"Aros de Plata Diseño Gota de Circones";"Aro Circón Pegados";5600;55
31793;"Colgante de Plata 925 Diseño Camiseta de Fútbol de Circones";"Colgante Circón";13000;37
31794;"Colgante de Plata 925 Diseño de Oso con Circones";"Colgante Circón";7100;54
31787;"Aros de Plata 925 Diseño Triangular Calado con Circón Ónix";"Aro Circón Pegados";5400;54
31788;"Aros de Plata 925 Diseño Trío de Circones Tradicionales en Secuencia";"Aro Circón Pegados";3400;90
31789;"Aros de Plata 925 Diseño Varita de Circones con Punta de Circón Tradicional";"Aro Circón Pegados";4300;40
31790;"Aros de Plata 925 Estilo Cuff de Estrella Irregular con Circones y Estrella Lisa";"Aros Trepadores y Cuff";4100;67
31786;"Aros de Plata 925 Diseño Oso de Circones";"Aro Circón Pegados";4300;45
31781;"Aros de Plata 925 Diseño Doble Estrella Calada con Circones y Lisa";"Aro Circón Pegados";6000;51
31782;"Aros de Plata 925 Diseño Esmaltado Colibrí de Colores";"Aro de Plata Pegados";6700;43
31783;"Aros de Plata 925 Diseño Libélula con Circones de Colores";"Aro Circón Pegados";4600;49
31784;"Aros de Plata 925 Diseño Lunar con Gato y Circón";"Aro Circón Pegados";4200;47
31785;"Aros de Plata 925 Diseño Mariposa Calada de Circones de Colores";"Aro Circón Pegados";6500;85
31779;"Aros de Plata 925 Diseño Corazón de Circones con Perla Imitación";"Aro Circón Pegados";4600;52
31780;"Aros de Plata 925 Diseño Corazón Irregular con Circones y Perla Imitación";"Aro Circón Pegados";5600;55
31776;"Aros de Plata 925 Diseño Corazón Calado con Relieves y Circones";"Aro Circón Pegados";5700;52
31777;"Aros de Plata 925 Diseño Corazón de Circones";"Aro Circón Pegados";5500;55
31778;"Aros de Plata 925 Diseño Corazón de Circones con Laso Coquette";"Aro Circón Pegados";5700;57
31771;"Aros de Plata 925 Diseño Cesta de Papas Fritas con Circones";"Aro Circón Pegados";5100;45
31772;"Aros de Plata 925 Diseño Circón Corazón Magenta con Hoja Circón Verde";"Aro Circón Pegados";5600;55
31773;"Aros de Plata 925 Diseño Circular con Flor de Circones";"Aro Circón Pegados";7200;58
31774;"Aros de Plata 925 Diseño Colibrí de Circones Con Gota de Circón Azul";"Aro Circón Pegados";9600;45
31775;"Aros de Plata 925 Diseño Corazón Alado de Circones";"Aros Circón Largo";8900;36
31766;"Pulsera de Plata 925 Diseño Figuras Ají Trébol y Herradura";"Pulsera de Plata";13400;50
31767;"Pulsera de Plata 925 Diseño Mickey Mouse y Minnie Mouse de Circones";"Pulsera con Circón";10100;46
31768;"Pulsera de Plata 925 Diseño Minnie Mouse Laso Coquette Esmaltado Rojo con Blanco";"Pulsera de Plata";8500;32
31769;"Pulsera de Plata 925 Diseño Placa Trébol con Circones Incrustados";"Pulsera con Circón";6100;58
31770;"Pulsera de Plata 925 Diseño Trío de Infinito Liso con Serie de Circones";"Pulsera con Circón";9300;68
31763;"Pulsera de Plata 925 Diseño Circular Trío de Tréboles de Circones";"Pulsera con Circón";12100;57
31764;"Pulsera de Plata 925 Diseño Cruz Horizontal de Circones de Colores";"Pulsera con Circón";6400;54
31765;"Pulsera de Plata 925 Diseño Doble Figuras Estrellas y Lunas";"Pulsera de Plata";6900;47
31761;"Pulsera de Plata 925 Diseño Circones Colores en Serie";"Pulsera con Circón";11700;54
31762;"Pulsera de Plata 925 Diseño Circular con Trébol de Circones";"Pulsera con Circón";6400;57
31756;"Conjunto de Plata 925 Estilo Hello Kitty con Circones Rosa y Tradicionales";"Conjuntos de Plata";9200;46
31757;"Conjunto de Plata 925 Estilo Roseta con Circón Tradicional y Circones de Colores";"Conjuntos de Plata";9000;58
31758;"Conjunto de Plata 925 Estilo Trébol de Circones";"Conjuntos de Plata";12400;53
31759;"Pulsera de Plata 925 Diseño Anudado con Infinito Dúo de Circones y Corazones Enlazados";"Pulsera con Circón";9800;58
31760;"Pulsera de Plata 925 Diseño Anudado con Serie de Trío de Circones";"Pulsera con Circón";11900;52
31755;"Conjunto de Plata 925 Diseño Placa Base Lisa con Perla Imitación";"Conjuntos de Plata";9900;70
31751;"Conjunto de Plata 925 Diseño Flor de Perla Imitación con Pétalos de Circones";"Conjuntos de Plata";11100;57
31752;"Conjunto de Plata 925 Diseño Flor de Perla Imitación con Pétalos de Circones.";"Conjuntos de Plata";11400;60
31753;"Conjunto de Plata 925 Diseño Liso de Estrella";"Conjuntos de Plata";5300;70
31754;"Conjunto de Plata 925 Diseño Perla Imitación";"Conjuntos de Plata";11900;61
31747;"Collar de Plata 925 Doble Diseño con Eslabón de Circones";"Collares con Circón";17100;53
31748;"Conjunto de Plata 925 Diseño Circón Tradicional";"Conjuntos de Plata";7100;53
31749;"Conjunto de Plata 925 Diseño Corazón Calado con Aplicación de Circones";"Conjuntos de Plata";8100;72
31750;"Conjunto de Plata 925 Diseño Estrella con Circones";"Conjuntos de Plata";7400;53
31746;"Collar de Plata 925 Diseño Trébol Biselado";"Collares de Plata";11800;54
31741;"Collar de Plata 925 Diseño Corazón de Circones con Oso Calado Colgante";"Collares con Circón";10800;60
31742;"Collar de Plata 925 Diseño Flor de Circones";"Collares con Circón";13300;40
31743;"Collar de Plata 925 Diseño Flor de Circones";"Collares con Circón";7800;44
31744;"Collar de Plata 925 Diseño Octágono Calado con Circón Magenta y Circones Tradicionales";"Collares con Circón";9500;54
31745;"Collar de Plata 925 Diseño Rombo Semi Curvo de Circones";"Collares con Circón";8900;27
31739;"Colgante de Plata 925 Estilo Mickey Mouse Liso con Circones de Colores";"Colgante Circón";3000;88
31740;"Colgante de Plata 925 Prendedor con Aplicación de Circones";"Colgante Circón";7200;47
31736;"Colgante de Plata 925 Diseño Hello Kitty con Corazones y Circones";"Colgante Circón";4400;43
31737;"Colgante de Plata 925 Diseño Herradura con Circones y Silueta de Caballo";"Colgante Circón";7700;38
31738;"Colgante de Plata 925 Diseño Oso Calado con Circones";"Colgante Circón";4900;56
31731;"Aros de Plata Diseño Circular Irregular con Patrón Liso y Satinado";"Aro Circón Pegados";4900;57
31732;"Aros de Plata Diseño Gota Lisa Irregular con Circones de Colores";"Aro de Plata Pegados";10100;55
31733;"Colgante de Plata 925 Camiseta de Futbol con Circones";"Colgante Circón";12300;44
